LINESEARCH!!!
LINESEARCH LR: 0.0001220703125
step 0: train loss 10.9888, val loss 10.9901
LINESEARCH LR: 6.103515625e-05
step 1000: train loss 4.5890, val loss 4.6036
saving checkpoint to out
iter 1000: loss 4.6782, time 63517.81ms, mfu 20.26%
iter 1010: loss 4.5415, time 3048.07ms, mfu 20.44%
iter 1020: loss 4.4176, time 3017.06ms, mfu 20.63%
iter 1030: loss 4.3683, time 3021.83ms, mfu 20.79%
iter 1040: loss 4.5813, time 3015.71ms, mfu 20.95%
iter 1050: loss 4.4125, time 3020.61ms, mfu 21.08%
iter 1060: loss 4.4823, time 3017.65ms, mfu 21.20%
iter 1070: loss 4.5536, time 3021.97ms, mfu 21.31%
iter 1080: loss 4.2917, time 3017.81ms, mfu 21.41%
iter 1090: loss 4.6497, time 3015.51ms, mfu 21.50%
iter 1100: loss 4.4819, time 3017.51ms, mfu 21.58%
iter 1110: loss 4.4478, time 3017.80ms, mfu 21.66%
iter 1120: loss 4.4972, time 3019.34ms, mfu 21.72%
iter 1130: loss 4.7005, time 3020.24ms, mfu 21.78%
iter 1140: loss 4.4713, time 3020.83ms, mfu 21.83%
iter 1150: loss 4.4047, time 3024.06ms, mfu 21.87%
iter 1160: loss 4.2491, time 3022.71ms, mfu 21.91%
iter 1170: loss 4.4949, time 3026.40ms, mfu 21.95%
iter 1180: loss 4.5961, time 3022.43ms, mfu 21.98%
iter 1190: loss 4.4670, time 3022.78ms, mfu 22.01%
iter 1200: loss 4.4395, time 3028.84ms, mfu 22.03%
iter 1210: loss 4.4300, time 3027.46ms, mfu 22.05%
iter 1220: loss 4.2205, time 3026.00ms, mfu 22.07%
iter 1230: loss 4.4353, time 3030.42ms, mfu 22.09%
iter 1240: loss 4.4438, time 3027.16ms, mfu 22.10%
iter 1250: loss 4.3783, time 3030.39ms, mfu 22.11%
iter 1260: loss 4.2969, time 3034.73ms, mfu 22.12%
iter 1270: loss 4.5007, time 3022.48ms, mfu 22.14%
iter 1280: loss 4.5375, time 3024.66ms, mfu 22.15%
iter 1290: loss 4.1716, time 3025.96ms, mfu 22.16%
iter 1300: loss 3.8993, time 3028.74ms, mfu 22.17%
iter 1310: loss 4.1553, time 3029.14ms, mfu 22.17%
iter 1320: loss 4.5531, time 2984.59ms, mfu 22.21%
iter 1330: loss 4.3510, time 2967.72ms, mfu 22.26%
iter 1340: loss 4.4110, time 2972.54ms, mfu 22.30%
iter 1350: loss 4.3370, time 2986.17ms, mfu 22.32%
iter 1360: loss 4.2493, time 2994.76ms, mfu 22.34%
iter 1370: loss 4.4225, time 3001.54ms, mfu 22.35%
iter 1380: loss 4.2989, time 2998.53ms, mfu 22.36%
iter 1390: loss 4.3842, time 3010.27ms, mfu 22.36%
iter 1400: loss 3.8030, time 3031.27ms, mfu 22.34%
iter 1410: loss 4.3287, time 3013.32ms, mfu 22.34%
iter 1420: loss 4.2894, time 3013.05ms, mfu 22.34%
iter 1430: loss 4.2196, time 3021.52ms, mfu 22.34%
iter 1440: loss 4.2291, time 3012.59ms, mfu 22.34%
iter 1450: loss 4.1546, time 3019.13ms, mfu 22.34%
iter 1460: loss 3.8820, time 3016.05ms, mfu 22.33%
iter 1470: loss 4.4314, time 3022.69ms, mfu 22.33%
iter 1480: loss 4.1233, time 3027.12ms, mfu 22.32%
iter 1490: loss 4.0605, time 3021.20ms, mfu 22.32%
iter 1500: loss 4.2328, time 3024.56ms, mfu 22.31%
iter 1510: loss 4.3081, time 3023.77ms, mfu 22.31%
iter 1520: loss 4.2988, time 3020.94ms, mfu 22.30%
iter 1530: loss 4.2476, time 3023.38ms, mfu 22.30%
iter 1540: loss 4.1822, time 3030.49ms, mfu 22.29%
iter 1550: loss 4.0548, time 3028.88ms, mfu 22.29%
iter 1560: loss 4.3861, time 3028.77ms, mfu 22.28%
iter 1570: loss 3.9934, time 3026.64ms, mfu 22.28%
iter 1580: loss 4.0225, time 3025.34ms, mfu 22.28%
iter 1590: loss 4.1692, time 3025.67ms, mfu 22.27%
iter 1600: loss 4.3037, time 3028.82ms, mfu 22.27%
iter 1610: loss 4.0708, time 3027.96ms, mfu 22.27%
iter 1620: loss 4.1097, time 3025.43ms, mfu 22.26%
iter 1630: loss 3.9803, time 3031.84ms, mfu 22.26%
iter 1640: loss 4.1849, time 3016.25ms, mfu 22.26%
iter 1650: loss 4.0351, time 3017.58ms, mfu 22.27%
iter 1660: loss 4.3015, time 3017.90ms, mfu 22.27%
iter 1670: loss 4.0499, time 3019.31ms, mfu 22.28%
iter 1680: loss 3.9350, time 3022.45ms, mfu 22.28%
iter 1690: loss 4.1430, time 3029.20ms, mfu 22.27%
iter 1700: loss 4.2120, time 3028.57ms, mfu 22.27%
iter 1710: loss 4.1222, time 3029.84ms, mfu 22.26%
