step 0: train loss 10.9886, val loss 10.9897
iter 1010: loss 4.4202, time 3037.20ms, mfu 20.49%
iter 1020: loss 4.6420, time 3014.71ms, mfu 20.67%
iter 1030: loss 4.4036, time 3012.87ms, mfu 20.84%
iter 1040: loss 4.5233, time 3017.35ms, mfu 20.99%
iter 1050: loss 4.3595, time 3020.07ms, mfu 21.12%
iter 1060: loss 4.5195, time 3021.14ms, mfu 21.24%
iter 1070: loss 4.4466, time 3024.94ms, mfu 21.34%
iter 1080: loss 4.7156, time 3028.92ms, mfu 21.43%
iter 1090: loss 4.2124, time 3032.38ms, mfu 21.50%
iter 1100: loss 4.3006, time 3031.54ms, mfu 21.57%
iter 1110: loss 4.3848, time 3036.69ms, mfu 21.63%
iter 1120: loss 4.2730, time 3039.36ms, mfu 21.69%
iter 1130: loss 4.3877, time 3046.85ms, mfu 21.73%
iter 1140: loss 4.1170, time 3044.17ms, mfu 21.77%
iter 1150: loss 4.3906, time 3043.51ms, mfu 21.80%
iter 1160: loss 4.3760, time 3043.35ms, mfu 21.83%
iter 1170: loss 4.1715, time 3042.26ms, mfu 21.86%
iter 1180: loss 4.2591, time 3037.54ms, mfu 21.89%
iter 1190: loss 4.1203, time 3045.07ms, mfu 21.92%
iter 1200: loss 4.2702, time 3049.10ms, mfu 21.93%
iter 1210: loss 4.1864, time 3043.37ms, mfu 21.95%
iter 1220: loss 4.3171, time 3043.55ms, mfu 21.97%
iter 1230: loss 4.3461, time 3039.61ms, mfu 21.99%
iter 1240: loss 3.8710, time 3041.44ms, mfu 22.00%
iter 1250: loss 4.2914, time 3044.41ms, mfu 22.01%
iter 1260: loss 4.1391, time 3045.57ms, mfu 22.02%
iter 1270: loss 4.0039, time 3045.23ms, mfu 22.03%
iter 1280: loss 4.0073, time 3041.42ms, mfu 22.04%
iter 1290: loss 4.1035, time 3042.77ms, mfu 22.05%
iter 1300: loss 4.1468, time 3045.83ms, mfu 22.06%
iter 1310: loss 4.1637, time 3049.77ms, mfu 22.06%
iter 1320: loss 4.1512, time 3046.07ms, mfu 22.06%
iter 1330: loss 4.2601, time 3053.38ms, mfu 22.06%
iter 1340: loss 4.1767, time 3055.03ms, mfu 22.06%
iter 1350: loss 4.0550, time 3050.97ms, mfu 22.06%
iter 1360: loss 3.9149, time 3053.29ms, mfu 22.06%
iter 1370: loss 4.2130, time 3054.29ms, mfu 22.06%
iter 1380: loss 4.3038, time 3056.52ms, mfu 22.05%
iter 1390: loss 4.0487, time 3053.13ms, mfu 22.05%
iter 1400: loss 4.1063, time 3042.53ms, mfu 22.06%
iter 1410: loss 4.1863, time 3049.55ms, mfu 22.06%
iter 1420: loss 4.1663, time 3049.72ms, mfu 22.07%
iter 1430: loss 4.0087, time 3056.06ms, mfu 22.06%
iter 1440: loss 4.1376, time 3058.14ms, mfu 22.06%
iter 1450: loss 4.0569, time 3000.05ms, mfu 22.10%
iter 1460: loss 3.7819, time 2982.88ms, mfu 22.14%
iter 1470: loss 4.0952, time 2991.07ms, mfu 22.18%
iter 1480: loss 3.8928, time 2998.28ms, mfu 22.21%
iter 1490: loss 4.0715, time 3011.89ms, mfu 22.22%
iter 1500: loss 3.8803, time 3022.62ms, mfu 22.23%
iter 1510: loss 3.9820, time 3017.80ms, mfu 22.24%
iter 1520: loss 4.1478, time 3034.23ms, mfu 22.23%
iter 1530: loss 4.1200, time 3034.28ms, mfu 22.23%
iter 1540: loss 3.8170, time 3041.58ms, mfu 22.22%
iter 1550: loss 4.0580, time 3041.27ms, mfu 22.21%
iter 1560: loss 3.8920, time 3046.22ms, mfu 22.20%
iter 1570: loss 3.9948, time 3037.30ms, mfu 22.20%
iter 1580: loss 3.7461, time 3046.95ms, mfu 22.19%
iter 1590: loss 3.8627, time 3037.92ms, mfu 22.18%
iter 1600: loss 3.8860, time 3047.93ms, mfu 22.17%
iter 1610: loss 3.7653, time 3053.92ms, mfu 22.16%
iter 1620: loss 3.8625, time 3049.96ms, mfu 22.15%
iter 1630: loss 4.0496, time 3055.29ms, mfu 22.14%
iter 1640: loss 4.0536, time 3055.20ms, mfu 22.13%
iter 1650: loss 3.9409, time 3053.28ms, mfu 22.12%
iter 1660: loss 3.9237, time 3044.81ms, mfu 22.12%
iter 1670: loss 3.8927, time 3057.76ms, mfu 22.11%
iter 1680: loss 4.0470, time 3053.31ms, mfu 22.11%
iter 1690: loss 3.9683, time 3055.80ms, mfu 22.10%
iter 1700: loss 3.8833, time 3051.00ms, mfu 22.10%
iter 1710: loss 4.0524, time 3051.02ms, mfu 22.09%
iter 1720: loss 3.9888, time 3056.58ms, mfu 22.09%
iter 1730: loss 3.9235, time 3053.63ms, mfu 22.08%
iter 1740: loss 3.7357, time 3050.58ms, mfu 22.08%
iter 1750: loss 3.8033, time 3049.71ms, mfu 22.08%
iter 1760: loss 3.9258, time 3050.61ms, mfu 22.08%
iter 1770: loss 3.9369, time 3037.38ms, mfu 22.09%
iter 1780: loss 3.9962, time 3036.90ms, mfu 22.10%
iter 1790: loss 3.7615, time 3045.29ms, mfu 22.10%
iter 1800: loss 3.7564, time 3040.81ms, mfu 22.10%
iter 1810: loss 3.7201, time 3050.08ms, mfu 22.10%
iter 1820: loss 3.8536, time 3055.30ms, mfu 22.09%
iter 1830: loss 3.6452, time 3057.26ms, mfu 22.09%
iter 1840: loss 4.0655, time 3058.38ms, mfu 22.08%
iter 1850: loss 3.6407, time 3048.87ms, mfu 22.08%
iter 1860: loss 3.7746, time 3053.81ms, mfu 22.08%
iter 1870: loss 3.8606, time 3057.63ms, mfu 22.07%
iter 1880: loss 4.0065, time 3057.69ms, mfu 22.07%
iter 1890: loss 3.6602, time 3057.84ms, mfu 22.06%
iter 1900: loss 3.8765, time 3047.85ms, mfu 22.06%
iter 1910: loss 3.8754, time 3050.71ms, mfu 22.06%
iter 1920: loss 3.7790, time 3041.76ms, mfu 22.07%
iter 1930: loss 3.7101, time 3051.59ms, mfu 22.07%
iter 1940: loss 3.7215, time 3047.74ms, mfu 22.07%
iter 1950: loss 3.7062, time 3050.63ms, mfu 22.07%
iter 1960: loss 3.7819, time 3047.90ms, mfu 22.07%
iter 1970: loss 3.8899, time 3046.74ms, mfu 22.08%
iter 1980: loss 3.7621, time 3052.43ms, mfu 22.08%
